aes_canton,NAME
Zurich (ZH),Zürich
Berne (BE),Bern
Lucerne (LU),Luzern
Uri (UR),Uri
Schwyz (SZ),Schwyz
Obwalden (OW),Obwalden
Nidwalden (NW),Nidwalden
Glarus (GL),Glarus
Zug (ZG),Zug
Fribourg (FR),Fribourg
Solothurn (SO),Solothurn
Basel-Stadt (BS),Basel-Stadt
Basel-Landschaft (BL),Basel-Landschaft
Schaffhausen (SH),Schaffhausen
Appenzell Ausserrhoden (AR),Appenzell Ausserrhoden
Appenzell Innerrhoden (AI),Appenzell Innerrhoden
St. Gallen (SG),St. Gallen
Graubünden (GR),Graubünden
Aargau (AG),Aargau
Thurgau (TG),Thurgau
Ticino (TI),Ticino
Vaud (VD),Vaud
Valais (VS),Valais
Neuchâtel (NE),Neuchâtel
Geneva (GE),Genève
Jura (JU),Jura
